,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,WDS(code),pmag,prot,origin
93,HD13974,Gaia DR3 326173044957518080,HD13974,HIP10644,GJ92,TIC63782132,-,8Tri+delTri,J02171+3413A,G0.5VFe-0.5,SB*,34.2635,34.2242,02171+3413,,13.2,THE_stellar(RHK+Mamajek)
94,HD13531A,Gaia DR3 333053037107550080,HD13531A,HIP10339,-,TIC184737443,-,-,J02132+4030A,G7V,BY*,33.3056,40.5076,02132+4030,,5.0,THE_stellar(RHK+Mamajek)
95,HD13507,Gaia DR3 333106054183616000,HD13507,HIP10321,-,TIC184735829,-,-,-,G5V,BY*,33.2291,40.6684,-,,6.3,THE_stellar(RHK+Mamajek)
97,HD16175,Gaia DR3 340028235795364864,HD16175,HIP12191,-,TIC422922274,-,-,-,G2,PM*,39.258,42.0626,-,,13.2,THE_stellar(RHK+Mamajek)
98,HD15830,Gaia DR3 340305381444650880,HD15830,HIP11949,-,TIC288497990,-,-,-,G0,PM*,38.5444,42.7853,-,,18.8,THE_stellar(RHK+Mamajek)
101,HD9826,Gaia DR3 348020482735930112,HD9826,HIP7513,GJ61,TIC189576919,-,50And+upsAnd,J01368+4124A,F9V,PM*,24.1993,41.4055,01368+4124,29.6,,THE_YARARA
101,HD9826,Gaia DR3 348020482735930112,HD9826,HIP7513,GJ61,TIC189576919,-,50And+upsAnd,J01368+4124A,F9V,PM*,24.1993,41.4055,01368+4124,,5.02,THE_VSINI
101,HD9826,Gaia DR3 348020482735930112,HD9826,HIP7513,GJ61,TIC189576919,-,50And+upsAnd,J01368+4124A,F9V,PM*,24.1993,41.4055,01368+4124,,10.3,THE_stellar(RHK+Mamajek)
102,HD10307,Gaia DR3 348515297330773120,HD10307,HIP7918,GJ67+GJ67A+GJ67B,TIC327507922,-,-,J01418+4237AB,G1V,SB*,25.4464,42.6134,01418+4237,,17.8,THE_stellar(RHK+Mamajek)
103,HD10086,Gaia DR3 350664155368182656,HD10086,HIP7734,GJ65.1,TIC327349605,-,-,-,G5V,PM*,24.9001,45.8778,-,,12.5,THE_stellar(RHK+Mamajek)
