,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,distance,vmag,PLATO
173,HD72780,Gaia DR3 601647853572646272,HD72780,HIP42112,-,TIC468983199,-,-,-,F8,PM*,128.7675,11.2837,52.46,7.47,0
174,HD73667,Gaia DR3 602079652404802688,HD73667,HIP42499,GJ315+GJ315.0,TIC443965212,-,-,J08398+1131A,K2V,PM*,129.9616,11.5227,18.433,7.627,0
175,HD85091,Gaia DR3 613075249718020736,HD85091,HIP48215,-,TIC377041106,-,-,-,F8,RS*,147.4521,11.1064,44.106,7.628,0
176,HD83683,Gaia DR3 614534817044398848,HD83683,HIP47468,-,TIC341500777,-,-,-,F8,PM*,145.1469,13.0538,40.889,6.918,0
177,HD86133,Gaia DR3 627699888238838272,HD86133,HIP48785,-,TIC239205079,-,-,J09570+1946A,G0,PM*,149.2592,19.7624,40.814,7.6,0
178,83Cnc,Gaia DR3 632104703618657792,HD80218,HIP45699,-,TIC55276121,-,83Cnc,-,F5,PM*,139.7452,17.7053,42.352,6.575,0
179,HD82443,Gaia DR3 646255212109355136,HD82443,HIP46843,GJ354.1+GJ354.1A+GJ9301A,TIC172533278,-,-,J09327+2659A,G9V(k),BY*,143.1823,26.9885,18.074,7.001,0
180,HD66348,Gaia DR3 653027276027556224,HD66348,HIP39418,-,TIC358089005,-,-,J08035+1211A,F8V,PM*,120.8697,12.1813,44.56,6.753,0
181,HD67789,Gaia DR3 653820298787662464,HD67789,HIP39999,-,TIC27510756,-,-,J08101+1430A,F5,PM*,122.5273,14.508,53.469,7.59,0
182,HD66922,Gaia DR3 654871397543215872,HD66922,HIP39650,-,TIC60227635,-,-,-,F5,*,121.5378,15.3467,62.902,7.58,0
183,HD70843,Gaia DR3 656046844193198848,HD70843,HIP41226,-,TIC6953932,-,-,-,F5,PM*,126.1892,17.1818,47.278,7.064,0
184,HD68168,Gaia DR3 656546537868692480,HD68168,HIP40133,-,TIC27549653,-,-,-,G0,PM*,122.955,16.5239,34.088,7.34,0
185,HD68256,Gaia DR3 657244521593508992,HD68256,HIP40167C,GJ9257C,-,-,16CncC+zetCncC+zet02Cnc,J08122+1739C,G0IV-V,SB*,123.055,17.6485,24.299,6.042,0
186,HD68257,Gaia DR3 657244586015485440,HD68257,HIP40167A,GJ9257A,-,-,16CncA+zetCncA+zet01CncA,J08122+1739A,-,PM*,123.053,17.6476,24.457,5.523,0
187,HD74655,Gaia DR3 661183762517030784,HD74655,HIP43004,-,TIC184916538,-,-,-,F8,SB*,131.4586,20.0223,64.74,7.58,0
188,HD73344,Gaia DR3 666427539629086976,HD73344,HIP42403,-,TIC175193677,-,-,-,F6V,PM*,129.6897,23.6859,35.241,6.894,0
189,HD64468,Gaia DR3 670216834655936128,HD64468,HIP38657,GJ292.1,TIC293253336,-,-,J07549+1914A,K2.5V,SB*,118.7253,19.2363,20.307,7.76,0
190,HD65430,Gaia DR3 670853314448533888,HD65430,HIP39064,GJ3471,TIC54234694,-,-,-,K0V,SB*,119.8914,20.8439,23.988,7.647,0
191,HD62346,Gaia DR3 672866898196152064,HD62346,HIP37722,-,TIC62740103,-,-,-,G5,PM*,116.0579,20.2015,47.801,7.363,0
192,HD69897,Gaia DR3 683184784030475520,HD69897,HIP40843,GJ303,TIC302188141,-,18Cnc+chiCnc,-,F6V,PM*,125.0161,27.2177,18.223,5.132,0
193,HD76780,Gaia DR3 685042030968334592,HD76780,HIP44097,-,TIC203219063,-,-,J08589+2110A,G5,PM*,134.7322,21.1663,37.585,7.63,0
194,HD76752,Gaia DR3 691401846741926400,HD76752,HIP44089,-,TIC126319262,-,-,-,G2V,PM*,134.7078,25.405,38.418,7.47,0
195,HD80536,Gaia DR3 693631553243146624,HD80536,HIP45869,-,TIC149417907,-,-,-,G0,PM*,140.2942,25.1632,47.396,7.26,0
196,HD80509,Gaia DR3 702505745951768448,HD80509,HIP45870,-,TIC8768025,-,-,-,F5,PM*,140.2992,34.9477,56.853,7.45,0
197,HD73226,Gaia DR3 702798559642115584,HD73226,HIP42356,-,TIC117162940,-,-,-,G5,PM*,129.5354,26.049,44.225,7.579,0
198,HD75732,Gaia DR3 704967037090946688,HD75732,HIP43587,GJ324A,TIC332064670,-,55Cnc+rhoCnc+rho01Cnc,J08526+2820A,K0IV-V,PM*,133.1492,28.3308,12.587,5.951,0
199,HD74057,Gaia DR3 709910784966516992,HD74057,HIP42753,-,TIC332146607,-,-,-,F8,SB*,130.6926,31.8626,49.014,7.198,0
200,HD74011,Gaia DR3 711192403208467968,HD74011,HIP42734,-,TIC332147244,-,-,-,F8,PM*,130.6284,34.1877,48.099,7.42,0
201,HD77408,Gaia DR3 712473918368645120,HD77408,HIP44441,-,TIC166595382,-,-,-,F6IV,PM*,135.8156,32.8814,46.971,7.035,0
202,HD76349,Gaia DR3 712966087261585664,HD76349,HIP43904,-,TIC165986450,-,-,-,G0,*,134.1643,33.2578,44.693,7.322,0
203,HD78366,Gaia DR3 714116137767540096,HD78366,HIP44897,GJ334.2,TIC355127594,-,-,-,G0IV-V,PM*,137.2128,33.8822,18.95,5.955,0
204,5LMi,Gaia DR3 716109930305855360,HD75332,HIP43410,-,TIC284898141,-,5LMi,-,F7Vs,PM*,132.6343,33.2851,27.382,6.225,0
205,HD75353A,Gaia DR3 716546681236997888,HD75353A,-,-,TIC284928216,-,-,J08508+3504A,-,PM*,132.6844,35.071,55.019,7.531,0
206,HD76218,Gaia DR3 717094512905486976,HD76218,HIP43852,-,TIC188503588,-,-,-,G5V,*,133.982,36.1962,25.389,7.69,0
207,HD77407,Gaia DR3 718976395775952256,HD77407,HIP44458,-,TIC88646759,-,-,J09035+3750A,G0V,PM*,135.8628,37.841,30.149,7.063,0
208,HD76493,Gaia DR3 719601571215916544,HD76493,HIP44014,-,TIC416841738,-,-,J08578+3816A,F5,PM*,134.444,38.259,44.366,7.109,0
209,HD75933,Gaia DR3 720011654692793472,HD75933,HIP43737,-,TIC188474788,-,-,-,G5,PM*,133.6255,40.1333,65.779,7.62,0
210,HD89125A,Gaia DR3 725398123501434496,HD89125A,HIP50384,GJ387+GJ387A,TIC95360514,-,39Leo+39LeoA,J10172+2306A,F6V,PM*,154.3106,23.1062,22.271,5.813,0
211,35Leo,Gaia DR3 725469767850488064,HD89010,HIP50319,-,TIC95360265,-,35Leo,J10167+2325B,G1.5IV-V,PM*,154.1345,23.5031,29.61,5.963,0
212,HD89055,Gaia DR3 727103367251735040,HD89055,HIP50355,-,TIC1043986,-,-,J10169+2552A,G0V,PM*,154.236,25.8607,37.424,7.573,0
213,HD94426,Gaia DR3 736376888838503936,HD94426,HIP53324,-,TIC101624378,-,-,-,F8V,PM*,163.6064,30.532,51.474,7.55,0
214,24LMi,Gaia DR3 741184091114529792,HD88986,HIP50316,-,TIC1042868,-,24LMi,-,G2V,PM*,154.117,28.6825,33.348,6.47,0
215,HD86728,Gaia DR3 746545172372256384,HD86728,HIP49081,GJ376+GJ376A,TIC172954294,-,20LMi+20LMiA,J10010+3155A,G3VaHdel1,PM*,150.2527,31.9237,14.926,5.38,0
216,HD87836,Gaia DR3 747090839376823552,HD87836,HIP49680,-,TIC407590949,-,-,-,G5,PM*,152.1244,33.5146,46.809,7.49,0
217,HD87883,Gaia DR3 747266452000257280,HD87883,HIP49699,-,TIC407591082,-,-,-,K0V,PM*,152.1798,34.2423,18.292,7.56,0
218,HD97334,Gaia DR3 761919883981626752,HD97334,HIP54745,GJ417+GJ417A,TIC85335212,-,-,J11125+3549A,G2,BY*,168.1348,35.8141,22.697,6.405,0
219,HD100167,Gaia DR3 770810466284247936,HD100167,HIP56257,-,TIC18065952,-,-,-,F8,SB*,172.9746,41.4394,34.839,7.349,0
220,HD101177A,Gaia DR3 773861404893710208,HD101177A,HIP56809A,GJ433.2A+GJ9370A,TIC393884179,-,-,J11387+4507A,G0V,PM*,174.6871,45.1084,23.289,6.29,0
221,47UMa,Gaia DR3 777254360337133312,HD95128,HIP53721,GJ407,TIC21535479,-,47UMa,-,G1-VFe-0.5,PM*,164.8666,40.4303,13.888,5.034,0
222,HD97194,Gaia DR3 777967084390189696,HD97194,HIP54692,-,TIC156372021,-,-,J11118+4250A,F8,PM*,167.954,42.8321,45.908,7.202,0
223,HD83451,Gaia DR3 797813166194137472,HD83451,HIP47403,-,TIC155207713,-,-,-,F5,PM*,144.8669,35.2431,45.559,7.14,0
224,HD83525,Gaia DR3 797819831983352960,HD83525,HIP47436,-,TIC155230105,-,-,-,F5,PM*,144.9909,35.336,46.294,6.905,0
225,11LMi,Gaia DR3 798068905726303232,HD82885,HIP47080,GJ356A,TIC8915802,-,11LMi,J09357+3549A,G8Va,RS*,143.9146,35.8101,11.235,5.395,0
226,HD87127,Gaia DR3 802818555442790784,HD87127,HIP49308,-,TIC9375900,-,-,J10039+3801A,F5,PM*,150.9729,38.0204,45.562,6.764,0
227,HD89269,Gaia DR3 806000816970521728,HD89269,HIP50505,GJ3593,TIC39777146,-,-,J10189+4403A,G4V,PM*,154.7164,44.0483,20.185,6.628,0
228,HD88984,Gaia DR3 810562347114361472,HD88984,HIP50366,-,TIC39733489,-,-,-,F5,PM*,154.2537,47.3084,51.835,7.3,0
229,15LMi,Gaia DR3 821455861647126656,HD84737,HIP48113,GJ368,TIC23969522,-,15LMi,-,G0.5Va,PM*,147.1474,46.021,18.823,5.085,0
230,HD88230,Gaia DR3 823773494718931968,HD88230,HIP49908,GJ380,TIC371520835,-,-,J10114+4927A,K6VeFe-1,PM*,152.8422,49.4542,4.871,6.6,0
231,HD86560,Gaia DR3 828365055275781760,HD86560,HIP49070,-,TIC252466747,-,-,-,F8,PM*,150.2307,53.1244,50.922,7.59,0
232,HD92855,Gaia DR3 829777377964973952,HD92855,HIP52498,-,TIC150276644,-,-,J10435+4612B,F9V,SB*,161.0026,46.2067,36.68,7.28,0
233,HD96105,Gaia DR3 832865322008480896,HD96105,HIP54233,-,TIC318360556,-,-,-,F5,PM*,166.4423,50.1725,39.92,7.01,0
234,HD90508A,Gaia DR3 834571523536798848,HD90508A,-,GJ392A,-,-,-,J10281+4847A,-,PM*,157.0162,48.7849,22.991,6.442,0
235,HD89652,Gaia DR3 834616362995049088,HD89652,HIP50742,-,TIC252478806,-,-,-,G0,PM*,155.4244,48.042,46.809,7.59,0
236,HD91347,Gaia DR3 834923367257321856,HD91347,HIP51700,-,TIC311556725,-,-,-,F8,PM*,158.4606,49.1862,37.96,7.5,0
237,HD97855A,Gaia DR3 842361185463337728,HD97855A,HIP55044,GJ421.1A+GJ9353A,TIC354033190,-,-,J11161+5246A,F6VgF6mF3,PM*,169.0168,52.7732,38.84,6.288,0
238,HD96527A,Gaia DR3 842504568651372928,HD96527A,-,-,TIC318363572,-,-,J11080+5249A,-,PM*,167.0002,52.8216,56.922,7.36,0
239,HD100214A,Gaia DR3 844806430603318784,HD100214A,HIP56289,-,TIC357170234,-,-,J11323+5606A,F8,PM*,173.0847,56.0954,60.144,7.5,0
240,HD88402,Gaia DR3 848195056719463680,HD88402,HIP50035,-,TIC371543499,-,-,-,G0,*,153.2335,51.476,65.951,7.57,0
241,HD89389,Gaia DR3 851843030143428480,HD89389,HIP50606,-,TIC252475665,-,-,-,F8V,PM*,155.0617,53.7794,32.183,6.465,0
242,36UMa,Gaia DR3 853819947756949120,HD90839,HIP51459,GJ395,TIC416519065,-,36UMa,J10306+5559A,F8V,PM*,157.6566,55.9805,12.945,4.82,0
243,HD100203,Gaia DR3 859479413275804928,HD100203,HIP56290,GJ431.1,TIC100011351,-,-,J11323+6105AB,F8VmF5,**,173.0863,61.0825,28.268,5.465,0
244,HD95638,Gaia DR3 861857244610039552,HD95638,-,-,TIC99842694,-,-,-,F7V,SB*,165.8411,61.6543,39.199,7.142,0
245,HD59360,Gaia DR3 864706010518988800,HD59360,HIP36481,-,TIC60992062,-,-,-,G0,PM*,112.5975,19.8139,42.331,7.075,0
246,HD58551,Gaia DR3 865962683591073408,HD58551,HIP36152,-,TIC60776796,-,-,-,F6V,PM*,111.7094,21.5357,30.599,6.544,0
247,HD63333,Gaia DR3 867679158680505600,HD63333,HIP38172,-,TIC130160780,-,-,-,F5,PM*,117.3286,24.4887,40.912,7.099,0
248,HD60298,Gaia DR3 868513756724899840,HD60298,HIP36874,-,TIC94920145,-,-,-,G0,PM*,113.71,24.9545,39.075,7.36,0
249,HD64207,Gaia DR3 874164318778727936,HD64207,HIP38564,-,TIC171303795,-,-,-,F9V,SB*,118.4384,26.5642,66.64,7.6,0
250,HD63433,Gaia DR3 875071278432954240,HD63433,HIP38228,-,TIC130181866,-,-,-,G5V,MS*,117.4794,27.3632,22.379,6.92,0
251,HD65583,Gaia DR3 876370076542359936,HD65583,HIP39157,GJ295,TIC171523537,-,-,-,K0V_Fe-1.3,PM*,120.1339,29.2124,17.085,6.999,0
252,HD54371,Gaia DR3 882872210352301568,HD54371,HIP34567,-,TIC87869692,-,-,J07096+2544A,G6V,SB*,107.3974,25.7286,25.412,7.09,0
253,HD52711,Gaia DR3 887822001246832384,HD52711,HIP34017,GJ262,TIC91686663,-,-,-,G0V,PM*,105.8769,29.3371,18.95,5.949,0
254,HD56124,Gaia DR3 890234402772937472,HD56124,HIP35265,-,TIC371148289,-,-,-,G0,PM*,109.2897,33.0921,27.249,6.96,0
255,HIP36357,Gaia DR3 892215482207937152,-,HIP36357,GJ273.1+GJ9233,TIC239137106,-,-,J07291+3147E,K2.5V,BY*,112.2574,31.9938,18.121,7.726,0
256,HD59747,Gaia DR3 898639447612575104,HD59747,HIP36704,-,TIC16045498,-,-,-,K1V(k),BY*,113.2524,37.0298,20.68,7.68,0
257,HD58595,Gaia DR3 900556927171103232,HD58595,HIP36285,-,TIC18692746,-,-,-,G5,SB*,112.0442,40.6566,30.467,7.39,0
258,HD68933,Gaia DR3 901202374856726144,HD68933,HIP40472,-,TIC139268899,-,-,-,F5,*,123.9558,32.1772,55.631,7.327,0
259,HD68017,Gaia DR3 902007870203594880,HD68017,HIP40118,GJ9256,TIC165852811,-,-,"J08116+3227Aa,Ab",G3V,**,122.9111,32.4572,21.579,6.796,0
260,HD71974,Gaia DR3 903616971110812544,HD71974,HIP41820,-,TIC289588769,-,-,J08316+3458AB,G5V,**,127.8962,34.966,29.356,7.231,0
261,HD71148,Gaia DR3 918107434852949888,HD71148,HIP41484,GJ307.1+GJ9264,TIC27304566,-,-,-,G1V,PM*,126.9033,45.653,21.938,6.342,0
262,HD63814,Gaia DR3 918766901312365440,HD63814,HIP38422,-,TIC38956909,-,-,-,F8,PM*,118.0649,36.2699,44.702,7.066,0
263,HD62301,Gaia DR3 920377960724886144,HD62301,HIP37789,-,TIC21373524,-,-,-,F8V,PM*,116.2341,39.5564,34.114,6.782,0
264,HD48684,Gaia DR3 937696368373901696,HD48684,HIP32415,-,TIC240153522,-,-,-,G0V,PM*,101.5118,33.0297,57.102,7.6,0
265,HD45391,Gaia DR3 942860190374658688,HD45391,HIP30862,-,TIC144135094,-,-,-,G1V,PM*,97.1918,36.48,24.486,7.154,0
266,HD54591,Gaia DR3 947626504561429376,HD54591,-,-,TIC328562268,-,-,-,F5,PM*,107.7898,40.0428,60.187,7.298,0
267,HD48682,Gaia DR3 952326504452337792,HD48682,HIP32480,GJ245,TIC307754027,-,56Aur+psi05Aur,-,F9V,PM*,101.6847,43.5774,16.611,5.257,0
268,HD49197,Gaia DR3 952346742338146176,HD49197,HIP32702,-,TIC191833127,-,-,-,F5,PM*,102.3389,43.7591,41.467,7.3,0
269,HD44614,Gaia DR3 955687952016048000,HD44614,HIP30486,-,TIC197117103,-,-,-,G0,PM*,96.1286,38.5692,44.881,7.59,0
270,HD40979,Gaia DR3 961428192989499904,HD40979,HIP28767,-,TIC440489582,-,-,J06045+4416A,F8,PM*,91.1248,44.2604,33.979,6.755,0
271,HD48410,Gaia DR3 964389315240441984,HD48410,HIP32382,-,TIC307650431,-,-,-,G0,PM*,101.3707,44.2334,44.837,7.47,0
272,HD43523,Gaia DR3 968931157257437312,HD43523,HIP30023,-,TIC189847689,-,-,-,F5,*,94.77,47.394,32.733,6.845,0
273,HD40650,Gaia DR3 969752767321089792,HD40650,HIP28634,-,TIC440462174,-,-,-,F7V,PM*,90.6881,47.8095,27.597,6.503,0
274,HD55575,Gaia DR3 974887555341533440,HD55575,HIP35136,GJ1095,TIC156890613,-,-,-,F9V,PM*,108.9589,47.24,16.852,5.559,0
275,22Lyn,Gaia DR3 976893923544104576,HD58855,HIP36439,GJ9234,TIC328324648,-,22Lyn,J07299+4940A,F6V,PM*,112.4832,49.6725,20.402,5.365,0
276,HD63332,Gaia DR3 984918228123275776,HD63332,HIP38325,-,TIC53336409,-,-,-,F6V,PM*,117.7738,54.1292,30.003,6.034,0
277,HD47309,Gaia DR3 992524409046563840,HD47309,HIP31965,-,TIC252872174,-,-,-,G0,PM*,100.2043,51.9783,42.658,7.6,0
278,HD42819,Gaia DR3 998074365785799552,HD42819,HIP29777,-,TIC322676499,-,-,-,G0,PM*,94.0513,56.9344,49.45,7.48,0
279,HD46317,Gaia DR3 1001431106066942848,HD46317,HIP31552,-,TIC444898583,-,-,-,F5,PM*,99.0631,58.1068,35.65,6.628,0
280,HD78899,Gaia DR3 1012870940436984064,HD78899,HIP45187,GJ3539,TIC279825533,-,-,-,G5,SB*,138.1176,49.2065,38.1,7.65,0
281,HD73636,Gaia DR3 1014542369909518976,HD73636,HIP42627,-,TIC332228814,-,-,-,G0,SB*,130.3107,47.4806,56.173,7.56,0
282,HD75616,Gaia DR3 1017229679407710336,HD75616,HIP43625,-,TIC10057347,-,-,-,F5,*,133.2754,52.3902,35.709,6.937,0
283,HD79211,Gaia DR3 1022456104850892928,HD79211,HIP120005,GJ338B,TIC251078597,-,-,J09144+5241B,M0V,PM*,138.6028,52.6864,6.334,7.7,0
284,HD79210,Gaia DR3 1022456139210632064,HD79210,HIP45343,GJ338A,TIC251078595,-,-,J09144+5241A,K7V,SB*,138.5949,52.6866,6.334,7.64,0
285,HD71881,Gaia DR3 1027330446055197952,HD71881,HIP41844,-,TIC282854588,-,-,-,G1V,**,127.9793,50.6167,41.641,7.441,0
286,HD71244,Gaia DR3 1029035891669372800,HD71244,HIP41598,-,TIC71148871,-,-,-,G0,PM*,127.2159,53.8623,41.886,7.14,0
287,HD68638,Gaia DR3 1035000055055287680,HD68638,HIP40497,-,TIC81041820,-,-,J08161+5706A,G8V,SB*,124.0263,57.0941,32.514,7.482,0
288,HD79028,Gaia DR3 1040054235130174080,HD79028,HIP45333,GJ337.1+GJ9290,TIC86177169,-,16UMa+cUMa,-,G0V,SB*,138.5856,61.4233,20.237,5.192,0
289,HD86884,Gaia DR3 1046616429761951232,HD86884,HIP49246,-,TIC137882612,-,-,-,F8,PM*,150.7995,58.0978,68.931,7.48,0
290,HD100446,Gaia DR3 1056358927417808384,HD100446,HIP56423,-,TIC100012575,-,-,-,F8,PM*,173.5294,65.2425,42.432,7.29,0
291,HD97584A,Gaia DR3 1078773262224027520,HD97584A,HIP54952,GJ420A,TIC142591776,-,-,J11152+7329A,K4V,PM*,168.7996,73.4752,14.464,7.684,0
292,HD72905,Gaia DR3 1092545710514654464,HD72905,HIP42438,GJ311,TIC417762326,-,3UMa+pi.01UMa,-,G0.5V,BY*,129.7988,65.0209,14.439,5.631,0
293,HD66751,Gaia DR3 1098326392897863680,HD66751,HIP40015,GJ296.2+GJ9253,TIC71561609,-,-,-,F8V,PM*,122.5853,69.7251,29.883,6.55,0
294,HD45767,Gaia DR3 1103648372774574976,HD45767,HIP31333,-,TIC55482061,-,-,-,F2,PM*,98.5572,65.2869,62.341,7.59,0
295,HD42417,Gaia DR3 1104720293532079104,HD42417,HIP29720,-,TIC468871869,-,-,J06156+6609A,F5,*,93.9008,66.1485,39.86,7.05,0
296,HD42250,Gaia DR3 1107458592882148096,HD42250,HIP29761,GJ9205,TIC468874310,-,-,-,G9V,PM*,94.0112,70.7816,26.148,7.43,0
297,HD41476,Gaia DR3 1107751475291132160,HD41476,HIP29421,-,TIC468838503,-,-,-,F5,*,92.9754,71.1308,52.856,7.48,0
298,HD51370,Gaia DR3 1110103708620333696,HD51370,HIP34024,-,TIC417757111,-,-,-,F8,PM*,105.8899,71.7581,37.131,7.15,0
299,HD83186,Gaia DR3 1119805008948282880,HD83186,HIP47469,-,TIC159504148,-,-,-,F9V,PM*,145.1451,71.7554,59.446,7.468,0
300,HD130125,Gaia DR3 1157737335472646016,HD130125,HIP72223,-,TIC368788381,-,-,-,F7/8V,PM*,221.5681,3.5041,40.812,7.38,0
301,HD132756,Gaia DR3 1161797900633510144,HD132756,HIP73449,-,TIC368894360,-,-,-,G0,SB*,225.1458,8.6002,38.088,7.26,0
302,HD139457,Gaia DR3 1165262633571848064,HD139457,HIP76543,-,TIC323138830,-,-,-,F6,PM*,234.4967,10.2399,47.325,7.107,0
303,HD138573,Gaia DR3 1166216253750406144,HD138573,HIP76114,-,TIC393055414,-,-,-,G5IV-V,PM*,233.1819,10.9683,30.177,7.232,0
304,HD134066B,Gaia DR3 1167718049194619136,HD134066B,-,-,TIC449902390,-,-,J15075+0914B,G3V,PM*,226.8867,9.2251,32.887,7.512,0
305,HD134066A,Gaia DR3 1167718049194619264,HD134066A,-,-,TIC449902389,-,-,J15075+0914A,G2V,PM*,226.8873,9.226,32.863,7.278,0
306,HD134228,Gaia DR3 1167838720595878400,HD134228,-,-,TIC449904735,-,-,-,F8V,PM*,227.0858,10.1139,49.83,7.38,0
307,HD136160A,Gaia DR3 1168984617870183808,HD136160A,HIP74930,-,TIC366510795,-,-,J15187+1026A,F6IV-V,PM*,229.6746,10.4277,48.225,6.756,0
308,HD131023,Gaia DR3 1174143182830505984,HD131023,HIP72634,GJ3868,TIC349674635,-,-,J14510+0943A,K0V,PM*,222.7596,9.7237,30.038,7.4,0
309,HD130087,Gaia DR3 1174592883086082176,HD130087,HIP72190,-,TIC366362698,-,-,-,G2IV,PM*,221.4866,10.052,56.196,7.52,0
310,HD128311,Gaia DR3 1176209886733406592,HD128311,HIP71395,GJ3860,TIC349606708,-,-,J14360+0945A,K3V,BY*,219.0023,9.7465,16.319,7.48,0
311,HD126246A,Gaia DR3 1177532908459199488,HD126246A,-,-,TIC421807396,-,-,J14241+1115A,F8V,PM*,216.024,11.247,37.89,7.401,0
312,HD127540,Gaia DR3 1179352772001961216,HD127540,HIP71034,-,TIC72634674,-,-,-,F5,PM*,217.92,12.8564,61.222,7.56,0
313,HD131473,Gaia DR3 1186325496788069632,HD131473,HIP72846,-,TIC229551787,-,-,J14534+1542AB,-,-,223.3473,15.7052,48.167,6.696,0
314,HD133161,Gaia DR3 1186966374628267648,HD133161,HIP73593,-,TIC418027000,-,-,-,G2V,PM*,225.6377,16.0551,38.508,6.981,0
315,HD140667,Gaia DR3 1189404610382948224,HD140667,HIP77098,-,TIC296858769,-,-,-,G0V,SB*,236.1328,11.2665,42.426,7.53,0
316,39Ser,Gaia DR3 1191518146611956096,HD142267,HIP77801,GJ3924,TIC172607904,-,39Ser,J15532+1312A,G1VFe-1,SB*,238.3004,13.1966,17.781,6.099,0
317,HD142093,Gaia DR3 1192813951126183808,HD142093,HIP77718,-,TIC172603242,-,-,-,G2V,PM*,238.0023,15.2359,31.635,7.31,0
318,HD142860,Gaia DR3 1193030490492925824,HD142860,HIP78072,GJ603,TIC377415363,-,41Ser+gamSer,J15565+1540A,F6V,PM*,239.1133,15.6616,11.165,3.845,0
319,HD136923,Gaia DR3 1209182041427374080,HD136923,HIP75277,-,TIC345585983,-,-,-,G9V,PM*,230.6951,18.919,19.706,7.16,0
320,HD135101A,Gaia DR3 1212385193677160832,HD135101A,HIP74432,GJ3896,TIC351354256,-,-,J15127+1917A,G5V_Fe-0.9,PM*,228.1812,19.286,32.464,6.689,0
321,HD135101B,Gaia DR3 1212385193677161088,HD135101B,HIP74434,GJ3897,TIC351354253,-,-,J15127+1917B,G7V,PM*,228.1824,19.2924,32.472,7.529,0
322,HD140812,Gaia DR3 1216500150307258112,HD140812,HIP77129,-,TIC349360612,-,-,-,F5V,PM*,236.2328,21.4444,56.738,7.49,0
323,HD144287,Gaia DR3 1219254942328596736,HD144287,HIP78709,GJ609.2+GJ9542,TIC236316949,-,-,J16040+2515A,G8+V,SB*,241.0152,25.2548,21.63,7.069,0
324,HD126945,Gaia DR3 1229191778663045120,HD126945,HIP70760,-,TIC141303997,-,-,-,G5,PM*,217.063,16.1186,58.121,7.43,0
325,HD121560,Gaia DR3 1230894097540611968,HD121560,HIP68030,-,TIC458457378,-,-,-,F6V,PM*,208.9583,14.0565,24.51,6.17,0
326,HD122676,Gaia DR3 1231250992143084800,HD122676,HIP68634,GJ3824,TIC72601126,-,-,-,G7V,SB*,210.7369,14.9753,26.646,7.134,0
327,HD130396,Gaia DR3 1236764218322666880,HD130396,HIP72336,-,TIC345561530,-,-,-,F8V,*,221.8829,19.05,45.328,7.46,0
328,HD131511,Gaia DR3 1236929488664453376,HD131511,HIP72848,GJ567,TIC267365256,-,-,-,K0.5V,RS*,223.349,19.1528,11.629,6.009,0
329,ksiBooA,Gaia DR3 1237090738916392704,HD131156A,-,GJ566A,TIC1101124558,-,ksiBooA,J14514+1906A,G7Ve,PM*,222.8475,19.1004,6.754,4.656,0
330,ksiBooB,Gaia DR3 1237090738916392832,HD131156B,-,GJ566B,TIC1101124559,-,ksiBooB,J14514+1906B,K5Ve,PM*,222.846,19.1019,6.749,6.852,0
331,HD129814,Gaia DR3 1237374997031931392,HD129814,HIP72043,-,TIC345291554,-,-,-,G5V,PM*,221.0487,18.4621,42.037,7.52,0
332,HD126512,Gaia DR3 1240498331609669120,HD126512,HIP70520,-,TIC298434919,-,-,-,G0,PM*,216.3755,20.5902,43.71,7.27,0
333,HD129501,Gaia DR3 1241384331823317632,HD129501,HIP71899,-,TIC287081946,-,-,-,F8,PM*,220.5962,21.2931,45.572,7.47,0
334,HD120136,Gaia DR3 1244571953471006720,HD120136,HIP67275,GJ527+GJ527A,TIC72506701,-,4Boo+tauBoo+tauBooA,J13473+1727A,F7IV-V,PM*,206.8156,17.4569,15.614,4.486,0
335,HD125040A,Gaia DR3 1252050659765215744,HD125040A,-,-,TIC135171750,-,-,J14165+2007A,-,PM*,214.1368,20.1218,33.101,6.264,0
336,HD123033,Gaia DR3 1258410612976538368,HD123033,HIP68785,-,TIC28199267,-,-,J14048+2549A,F6V,PM*,211.1914,25.8177,44.065,6.96,0
337,HD134495,Gaia DR3 1264583374334606848,HD134495,HIP74183,-,TIC229906957,-,-,-,F6V,*,227.3729,24.676,55.979,7.416,0
338,HD131042,Gaia DR3 1265671031852406272,HD131042,HIP72604,-,TIC345259916,-,-,-,G2,PM*,222.6707,22.9076,37.14,7.5,0
339,HD130948A,Gaia DR3 1265976524286377856,HD130948A,HIP72567,GJ564+GJ564A,TIC198304072,-,-,J14503+2355A,F9IV-V,BY*,222.5659,23.9118,18.198,5.892,0
340,HD136176A,Gaia DR3 1271209611223823232,HD136176A,-,-,-,-,-,J15183+2650A,-,**,229.5844,26.8404,36.212,7.255,0
341,HD136176B,Gaia DR3 1271209615518148736,HD136176B,-,-,-,-,-,J15183+2650B,-,PM*,229.5839,26.8403,36.215,7.232,0
342,HD136654,Gaia DR3 1277115023753077248,HD136654,HIP75104,-,TIC445872278,-,-,J15208+3129A,F5,PM*,230.2087,31.4801,45.746,6.892,0
343,HD134044,Gaia DR3 1291886309636988416,HD134044,HIP73941,-,TIC20204058,-,-,J15066+3627A,F8V,PM*,226.6464,36.4561,29.932,6.358,0
344,HD135891,Gaia DR3 1292155518186768000,HD135891,HIP74730,-,TIC20304188,-,-,-,F8,SB*,229.089,37.0695,30.628,7.113,0
