,GAIA,HD,name,method,year,period,radius,mass,k,ecc,peri,Tp,T0,Tc,i,MP_stability
141,Gaia DR3 4157584215800708736,HD168443,HD 168443 b,Radial Velocity,1998,58.112,,2475.679,475.868,0.5297,172.8965,2450221.755,2455272.957,2455272.96,,0.6
142,Gaia DR3 4157584215800708736,HD168443,HD 168443 c,Radial Velocity,2000,1749.75,,5572.4855,298.09,0.2118,64.793,2450271.81,2455599.41,2455599.41,91.218,0.6
143,Gaia DR3 4247023886053586304,HD190007,HD 190007 b,Radial Velocity,2020,11.7221,,15.98,5.275,0.138,128.47,,,,,100.0
144,Gaia DR3 4383374219923745024,HD149806A,HD 149806 b,Radial Velocity,2022,16521.5278,,4003.6844,26.445,0.357,53.02,2444680.202,,2445459.61,13.574,100.0
145,Gaia DR3 4415515934099120768,HD136118,HD 136118 b,Radial Velocity,2022,1189.2988,,4704.1783,212.691,0.347,312.5335,2452984.3497,,2453330.08,81.3895,42.0
146,Gaia DR3 4430238051199001216,HD141004,HD 141004 b,Radial Velocity,2021,15.5083,,13.6348,3.45,0.16,19.4806,,2456704.33,2456704.33,,100.0
147,Gaia DR3 4443815297524544000,HD155193,HD 155193 b,Radial Velocity,2021,352.65,,238.3713,19.51,0.21,62.88,,,,0.7112,26.0
148,Gaia DR3 4582680493669880704,HD164922,HD 164922 b,Radial Velocity,2005,1198.5,,109.333,7.065,0.065,122.5,2454461.0,2456743.0,2456743.0,,64.1
149,Gaia DR3 4582680493669880704,HD164922,HD 164922 c,Radial Velocity,2016,75.765,,13.0,2.22,0.12,2.0,2457564.7,2455221.1,2455221.1,,64.1
150,Gaia DR3 4582680493669880704,HD164922,HD 164922 d,Radial Velocity,2020,12.4582,,4.3678,1.36,0.15,-29.5,2457503.9,2455198.58,2455198.58,,64.1
151,Gaia DR3 4582680493669880704,HD164922,HD 164922 e,Radial Velocity,2021,41.763,,10.5201,2.06,0.086,-17.1887,,2455256.6,2455256.6,,64.1
152,Gaia DR3 4584639307993378432,HD164595,HD 164595 b,Radial Velocity,2015,40.0,,16.14,3.05,0.088,145.0,2456280.0,,2456274.77,,98.0
153,Gaia DR3 5164707970261890560,HD22049,eps Eri b,Radial Velocity,2000,2650.0,,247.9074,14.75,0.07,47.0,2451873.25,2458702.5,2458702.5,54.455,100.0
154,Gaia DR3 5691782130578684544,HD82943,HD 82943 b,Radial Velocity,2003,441.47,,534.25,40.855,0.18,260.5,2451474.6,2455114.6,2455114.6,90.0,0.0
155,Gaia DR3 5691782130578684544,HD82943,HD 82943 c,Radial Velocity,2003,219.4,,587.9855,58.7,0.38,120.6,2451734.4,2455135.17,2455135.17,90.0,0.0
156,Gaia DR3 5726982995343100928,HD69830,HD 69830 b,Radial Velocity,2006,8.6682,,10.2329,3.495,0.106,185.0,2453496.8,2456585.35,2456585.35,,59.2
157,Gaia DR3 5726982995343100928,HD69830,HD 69830 c,Radial Velocity,2006,31.5865,,10.8263,2.42,0.122,100.5,2453469.6,2455197.35,2455197.35,,59.2
158,Gaia DR3 5726982995343100928,HD69830,HD 69830 d,Radial Velocity,2006,198.805,,16.0899,1.94,0.085,109.0,2453358.0,2455307.0,2455307.0,,59.2
159,Gaia DR3 6843672087120107264,HD206893,HD 206893 b,Imaging,2021,9975.0,14.0112,8581.367,,0.185,183.0,,,,146.2,
160,Gaia DR3 6843672087120107264,HD206893,HD 206893 c,Imaging,2022,2090.0,16.3651,4036.4208,,0.41,46.0,,,,150.9,
