,code,star,ins,drs,pipeline,yvx,ra,dec,teff,logg,feh,mhk,mhk_err,rhk,rhk_err,fwhm_ins,fwhm_g2,fwhm_garfield,fwhm_kitty,vsini,sb1,sb2,IF_SPEC,IF_CCF
613,HD187923_NEID_1.0_Snaky,HD187923,NEID,1.0,Snaky,YV0,298.012814,11.626885,5782.0,4.24,-0.12,1.7,4.35,-4.97,0.044,3.12,7.42,6.07,5.75,1.86,0.0,0.0,1,1
614,HD187923_SOPHIE_1.0_Snaky,HD187923,SOPHIE,1.0,Snaky,YV0,298.014167,11.628306,5773.0,4.3,-0.1,-1.8,12.39,-5.01,0.132,4.18,7.84,6.59,6.23,1.86,0.0,0.0,1,1
615,HD18803_SOPHIE_1.0_Snaky,HD18803,SOPHIE,1.0,Snaky,YV0,45.607917,26.609222,5614.0,4.42,0.06,16.5,7.44,-4.84,0.061,4.21,7.86,6.48,6.08,1.5,0.0,0.0,1,1
616,HD18894_CORALIE14_3.8_Snaky,HD18894,CORALIE14,3.8,Snaky,YV0,45.53864,-6.494533,5811.0,4.28,0.25,88.8,93.66,-5.07,0.474,5.24,11.82,9.86,9.23,5.91,0.0,0.0,1,1
617,HD18894_HARPS15_3.3.6_Snaky,HD18894,HARPS15,3.3.6,Snaky,YV0,45.53864,-6.494533,5944.0,4.37,0.04,18.4,21.28,-4.83,0.186,3.56,14.56,10.81,10.54,8.11,1.0,1.0,1,1
618,HD189067_SOPHIE_1.0_Snaky,HD189067,SOPHIE,1.0,Snaky,YV0,299.332083,24.088167,5897.0,4.29,0.03,3.4,15.26,-4.95,0.148,4.18,8.07,6.8,6.42,1.84,0.0,0.0,1,1
619,HD189733A_ESPRESSO19_3.3.1_Snaky,HD189733A,ESPRESSO19,3.3.1,Snaky,YV0,300.182137,22.710854,5014.0,4.54,-0.03,78.8,,-4.52,,2.62,8.08,6.42,5.82,2.54,0.0,0.0,1,1
620,HD189733A_HARPN_3.0.1_Snaky,HD189733A,HARPN,3.0.1,Snaky,YV0,300.182137,22.710854,5017.0,4.54,-0.03,75.1,14.95,-4.53,0.061,3.33,8.31,6.53,5.92,2.92,0.0,0.0,1,1
621,HD189733A_HARPS03_3.3.6_Snaky,HD189733A,HARPS03,3.3.6,Snaky,YV0,300.182137,22.710854,5017.0,4.54,-0.03,78.3,5.21,-4.52,0.019,3.23,8.15,6.54,5.95,2.59,0.0,0.0,1,1
622,HD189733A_HARPS03_3.5_Snaky,HD189733A,HARPS03,3.5,Snaky,YV0,300.182137,22.710854,5013.0,4.54,-0.02,76.9,5.38,-4.52,0.02,3.22,8.15,6.53,5.94,2.77,0.0,0.0,1,1
623,HD189733A_HARPS15_3.3.6_Snaky,HD189733A,HARPS15,3.3.6,Snaky,YV0,300.182137,22.710854,5013.0,4.54,-0.02,77.2,4.88,-4.52,0.018,3.5,8.17,6.55,5.95,2.87,0.0,0.0,1,1
624,HD189733A_HARPS15_3.5_Snaky,HD189733A,HARPS15,3.5,Snaky,YV0,300.182137,22.710854,5013.0,4.54,-0.02,76.2,4.53,-4.53,0.017,3.51,8.18,6.55,5.95,2.86,0.0,0.0,1,1
625,HD189733A_SOPHIE_1.0_Snaky,HD189733A,SOPHIE,1.0,Snaky,YV0,300.182083,22.710861,5012.0,4.52,-0.04,75.9,26.24,-4.53,0.103,4.04,8.57,6.9,6.29,2.39,0.0,0.0,1,1
626,HD190007_HARPN_3.0.1_Snaky,HD190007,HARPN,3.0.1,Snaky,YV0,300.696023,3.326184,4606.0,4.54,0.03,33.8,3.66,-4.72,0.022,3.08,7.36,5.8,5.07,1.47,0.0,0.0,1,1
627,HD190007_SOPHIE_1.0_Snaky,HD190007,SOPHIE,1.0,Snaky,YV0,300.696,3.326167,4642.0,4.52,0.06,41.5,24.32,-4.68,0.153,4.2,7.89,6.42,5.65,1.15,0.0,0.0,1,1
628,HD190360_NEID_1.0_Snaky,HD190360,NEID,1.0,Snaky,YV0,300.909248,29.894541,5582.0,4.32,0.19,1.3,4.02,-4.97,0.042,3.1,7.55,6.05,5.63,1.76,0.0,0.0,1,1
629,HD190360_SOPHIE_1.0_Snaky,HD190360,SOPHIE,1.0,Snaky,YV0,300.905833,29.896806,5569.0,4.33,0.21,1.4,7.34,-4.97,0.074,4.17,7.97,6.54,6.1,1.74,0.0,0.0,1,1
630,HD190404_HARPN_3.0.1_Snaky,HD190404,HARPN,3.0.1,Snaky,YV0,300.967195,23.340686,5078.0,4.6,-0.61,-3.3,1.31,-5.02,0.015,3.06,6.44,4.97,4.58,0.32,0.0,0.0,1,1
631,HD190404_SOPHIE_1.0_Snaky,HD190404,SOPHIE,1.0,Snaky,YV0,300.967188,23.34068,5135.0,4.56,-0.52,-2.5,10.53,-5.02,0.118,5.43,8.28,6.65,6.08,3.0,0.0,0.0,1,1
632,HD19063_CORALIE14_3.8_Snaky,HD19063,CORALIE14,3.8,Snaky,YV0,45.883312,-10.975068,6592.0,4.0,0.0,7.5,30.78,-5.14,0.323,4.96,12.33,10.15,9.51,5.0,0.0,0.0,1,1
633,HD191022_SOPHIE_1.0_Snaky,HD191022,SOPHIE,1.0,Snaky,YV0,301.41875,48.566806,5855.0,4.29,0.11,0.7,38.73,-4.98,0.272,3.99,8.05,6.72,6.32,2.12,0.0,0.0,1,1
634,HD191649_SOPHIE_1.0_Snaky,HD191649,SOPHIE,1.0,Snaky,YV0,302.178333,50.586333,6076.0,4.34,-0.22,-6.3,17.78,-5.06,0.251,4.28,9.16,7.9,7.42,3.64,0.0,0.0,1,1
635,HD191785_HARPN_3.0.1_Snaky,HD191785,HARPN,3.0.1,Snaky,YV0,302.775308,16.187998,5187.0,4.49,-0.09,0.1,1.63,-4.99,0.017,3.07,6.88,5.39,4.95,0.63,0.0,0.0,1,1
636,HD191785_HARPS15_3.3.6_Snaky,HD191785,HARPS15,3.3.6,Snaky,YV0,302.775308,16.187998,5171.0,4.49,-0.1,-0.7,6.31,-5.0,0.069,3.93,7.0,5.51,5.08,0.58,0.0,0.0,1,1
637,HD191785_HARPS15_3.5_Snaky,HD191785,HARPS15,3.5,Snaky,YV0,302.775308,16.187998,5171.0,4.49,-0.1,-1.2,5.92,-5.0,0.066,3.95,7.0,5.51,5.08,0.59,0.0,0.0,1,1
638,HD191785_NEID_1.0_Snaky,HD191785,NEID,1.0,Snaky,YV0,302.773448,16.189714,5098.0,4.51,-0.15,-0.5,2.34,-4.99,0.025,2.89,6.99,5.43,4.99,0.62,0.0,0.0,1,1
639,HD191862_HARPS03_3.3.6_Snaky,HD191862,HARPS03,3.3.6,Snaky,YV0,303.107794,-12.617497,6263.0,4.19,-0.27,-5.2,1.96,-5.05,0.024,3.31,13.86,11.38,10.56,7.3,0.0,0.0,1,1
640,HD191862_HARPS03_3.5_Snaky,HD191862,HARPS03,3.5,Snaky,YV0,303.107794,-12.617497,6244.0,4.16,-0.27,-2.7,20.69,-5.04,0.267,3.39,13.87,11.37,10.52,7.29,0.0,0.0,1,1
641,HD192557_SOPHIE_1.0_Snaky,HD192557,SOPHIE,1.0,Snaky,YV0,303.557917,35.361694,6101.0,4.3,0.06,-2.0,35.32,-5.13,0.409,4.18,8.42,7.2,6.78,2.35,0.0,0.0,1,1
642,HD19256_SOPHIE_1.0_Snaky,HD19256,SOPHIE,1.0,Snaky,YV0,47.107083,57.012917,5954.0,4.24,0.25,5.0,13.32,-4.94,0.134,4.15,8.22,6.87,6.46,2.38,0.0,0.0,1,1
643,HD193017_CORALIE07_3.4_Snaky,HD193017,CORALIE07,3.4,Snaky,YV0,304.54169,-4.728665,3587.0,4.52,-0.08,-0.3,0.2,-4.99,0.002,4.85,10.02,8.37,7.73,4.43,0.0,0.0,1,1
644,HD193017_CORALIE14_3.8_Snaky,HD193017,CORALIE14,3.8,Snaky,YV0,304.54169,-4.728665,6029.0,4.32,-0.01,50.1,23.15,-4.64,0.111,5.38,9.93,8.41,7.87,3.98,0.0,0.0,1,1
645,HD19308_SOPHIE_1.0_Snaky,HD19308,SOPHIE,1.0,Snaky,YV0,46.91375,36.617611,5797.0,4.34,0.11,0.9,11.89,-4.98,0.128,4.17,8.08,6.76,6.35,1.79,0.0,0.0,1,1
646,HD193664_SOPHIE_1.0_Snaky,HD193664,SOPHIE,1.0,Snaky,YV0,304.380417,66.853667,5886.0,4.43,-0.15,5.7,10.86,-4.93,0.104,4.22,7.96,6.7,6.32,1.7,0.0,0.0,1,1
647,HD19373_NEID_1.0_Snaky,HD19373,NEID,1.0,Snaky,YV0,47.275135,49.612886,5986.0,4.25,0.07,-8.0,6.47,-5.08,0.067,3.2,8.54,7.19,6.78,3.5,0.0,0.0,1,1
648,HD19373_SOPHIE_1.0_Snaky,HD19373,SOPHIE,1.0,Snaky,YV0,47.26675,49.613278,5953.0,4.26,0.12,5.6,7.33,-4.93,0.075,4.18,8.95,7.58,7.12,3.23,0.0,0.0,1,1
649,HD194012_SOPHIE_1.0_Snaky,HD194012,SOPHIE,1.0,Snaky,YV0,305.717917,14.551111,6137.0,4.32,-0.18,24.7,51.02,-4.79,0.28,3.66,12.77,10.57,9.9,6.47,0.0,0.0,1,1
650,HD194035_SOPHIE_1.0_Snaky,HD194035,SOPHIE,1.0,Snaky,YV0,305.687833,19.850083,5715.0,4.14,0.28,0.5,20.71,-5.1,0.237,4.29,8.3,6.93,6.47,2.05,0.0,0.0,1,1
651,HD19467_HARPS03_3.3.6_Snaky,HD19467,HARPS03,3.3.6,Snaky,YV0,46.827396,-13.761782,5759.0,4.33,-0.08,0.3,2.93,-4.98,0.031,3.34,7.28,6.0,5.69,1.55,0.0,0.0,1,1
652,HD19467_HARPS03_3.5_Snaky,HD19467,HARPS03,3.5,Snaky,YV0,46.827396,-13.761782,5734.0,4.32,-0.09,-1.0,3.41,-5.0,0.037,3.31,7.27,5.98,5.67,1.53,0.0,0.0,1,1
653,HD19467_HARPS15_3.3.6_Snaky,HD19467,HARPS15,3.3.6,Snaky,YV0,46.827396,-13.761782,5722.0,4.32,-0.1,-1.1,2.19,-5.0,0.024,3.44,7.31,6.02,5.72,1.8,0.0,0.0,1,1
654,HD19467_HARPS15_3.5_Snaky,HD19467,HARPS15,3.5,Snaky,YV0,46.827396,-13.761782,5719.0,4.36,-0.1,-1.0,10.68,-5.02,0.118,3.45,7.31,6.01,5.71,1.6,0.0,0.0,1,1
655,HD19467_SOPHIE_1.0_Snaky,HD19467,SOPHIE,1.0,Snaky,YV0,46.827417,-13.761139,5728.0,4.42,-0.14,15.1,70.35,-5.36,0.518,4.34,7.79,6.45,6.09,1.16,0.0,0.0,1,1
656,HD194765_SOPHIE_1.0_Snaky,HD194765,SOPHIE,1.0,Snaky,YV0,306.864833,-2.102917,6525.0,4.0,0.0,-35.3,39.69,-6.08,0.499,4.22,11.64,6.7,4.57,18.42,1.0,1.0,1,1
657,HD194766_CORALIE14_3.8_Snaky,HD194766,CORALIE14,3.8,Snaky,YV0,306.862223,-2.119519,6164.0,4.29,-0.08,-13.3,23.11,-5.47,0.426,5.04,8.83,7.55,7.12,2.22,0.0,0.0,1,1
658,HD195005_CORALIE07_3.4_Snaky,HD195005,CORALIE07,3.4,Snaky,YV0,307.208203,-1.734559,6030.0,4.3,-0.04,51.2,22.08,-4.65,0.105,5.0,10.12,8.57,8.05,4.12,0.0,0.0,1,1
659,HD195019_HARPS03_3.3.6_Snaky,HD195019,HARPS03,3.3.6,Snaky,YV0,307.077652,18.769494,5761.0,4.23,0.08,0.4,12.07,-5.01,0.129,3.34,7.58,6.24,5.9,1.99,0.0,0.0,1,1
