,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,Ls,Ms,Rs,teff,logg,feh,age,Ls_lerr,Ms_lerr,Rs_lerr,teff_lerr,logg_lerr,feh_lerr,age_lerr,Ls_uerr,Ms_uerr,Rs_uerr,teff_uerr,logg_uerr,feh_uerr,age_uerr,Ls_origin,Ms_origin,Rs_origin,teff_origin,logg_origin,feh_origin,age_origin,HZ_period_inf,HZ_period_sup,HZ_amp_inf,HZ_amp_sup,vsini,logRHK,pmag,prot
31,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,2.002,0.965,1.396,5810.0,4.131,-0.09,10.35,0.225,0.02,0.052,51.0,0.03,0.03,0.9,0.225,0.02,0.052,60.0,0.03,0.02,1.0,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,GaiaDR3_gspspec,BRILLIANT_ISO_v005_Rinput,318,714,0.0731,0.0956,,-4.552,,8.5
32,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,0.466,0.845,0.845,5190.0,4.515,0.07,9.45,0.042,0.02,0.021,41.0,0.02,0.04,3.8,0.042,0.02,0.021,60.0,0.02,0.04,2.9,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,198,467,0.0919,0.1224,3.9,-4.384,,7.5
33,51Ari,Gaia DR3 115311458058061440,HD18803,HIP14150,GJ120.2,TIC34691643,-,51Ari,-,G8V,PM*,45.6084,26.6092,0.882,1.04,0.972,5673.0,4.48,0.15,1.55,0.086,0.035,0.007,116.0,0.019,0.12,1.05,0.086,0.025,0.008,116.0,0.013,0.12,1.72,,FRECKELTON_ISO_v003,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,F2025,FRECKELTON_ISO_v003,421,889,0.0648,0.0831,3.8,-4.861,5.0,20.8
34,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,0.475,0.845,0.908,5030.0,4.486,0.18,12.95,0.03,0.01,0.016,31.0,0.01,0.05,1.2,0.03,0.01,0.016,40.0,0.01,0.05,0.6,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,198,467,0.0919,0.1224,1.7,-5.127,,53.3
35,HD20367,Gaia DR3 122704230645584768,HD20367,HIP15323,-,TIC101349357,-,-,-,F8V,PM*,49.4169,31.127,1.55,1.155,1.097,6150.0,4.415,0.12,0.88,0.125,0.03,0.021,68.0,0.02,0.02,0.55,0.125,0.02,0.021,63.0,0.01,0.02,0.88,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,613,1201,0.0545,0.0682,,-5.057,,12.4
36,HD17674,Gaia DR3 129321160344480512,HD17674,HIP13291,-,TIC77490014,-,-,-,G0V,PM*,42.7679,30.2867,1.581,0.975,1.171,5980.0,4.275,-0.14,7.55,0.126,0.05,0.023,62.0,0.02,0.1,1.5,0.126,0.04,0.023,60.0,0.03,0.1,1.8,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,330,738,0.0717,0.0938,,-4.825,,12.1
37,HD16397,Gaia DR3 132922438878995968,HD16397,HIP12306,GJ9089,TIC73626552,-,-,-,G0V,PM*,39.6161,30.8166,1.173,0.805,1.065,5820.0,4.291,-0.51,13.15,0.101,0.01,0.024,50.0,0.02,0.02,0.9,0.101,0.01,0.024,70.0,0.02,0.02,0.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,171,398,0.1001,0.1326,2.8,-4.874,,17.2
38,HD20209,Gaia DR3 138009810462247296,HD20209,HIP15205,-,TIC101261261,-,-,-,F5,PM*,49.0073,35.0452,2.468,1.035,1.331,6270.0,4.198,-0.29,5.55,0.202,0.04,0.025,76.0,0.02,0.05,0.9,0.202,0.04,0.025,61.0,0.02,0.05,1.1,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,F2025,BRILLIANT_ISO_v005_Rinput,421,889,0.0648,0.0831,3.8,-5.289,,12.5
39,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,J03077+3637A,G0,PM*,46.9142,36.6176,1.454,1.025,1.194,5800.0,4.285,0.13,7.65,0.108,0.03,0.023,45.0,0.02,0.02,1.1,0.108,0.02,0.023,60.0,0.02,0.02,1.3,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,405,864,0.0659,0.0848,,-4.91,,18.7
40,HD28483,Gaia DR3 144130516816579200,HD28483,HIP21008,-,TIC18372016,-,-,-,F6V,PM*,67.5749,19.8405,3.026,1.255,1.433,6360.0,4.221,0.12,2.65,0.269,0.02,0.03,80.0,0.02,0.04,0.5,0.269,0.03,0.03,70.0,0.02,0.04,0.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,776,1469,0.0482,0.0597,26.4,-4.619,,2.8
41,HD29150,Gaia DR3 144786577364287104,HD29150,HIP21436,-,TIC118553305,-,-,-,G5,*,69.0582,21.5365,0.918,0.985,0.952,5790.0,4.469,-0.02,3.15,0.072,0.03,0.019,63.0,0.03,0.02,1.6,0.072,0.03,0.019,50.0,0.02,0.02,1.9,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,342,763,0.0705,0.0921,,-4.833,,16.8
42,HD28676,Gaia DR3 144978858756826368,HD28676,HIP21158,-,TIC430314524,-,-,-,F5,*,68.0329,21.6324,1.876,1.075,1.293,5940.0,4.236,0.07,6.35,0.139,0.04,0.024,61.0,0.02,0.03,0.8,0.139,0.02,0.024,52.0,0.02,0.03,1.4,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,487,991,0.061,0.0772,,-4.829,,13.1
43,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,-,F8V,SB*,66.5771,21.4704,2.123,1.205,1.243,6250.0,4.321,0.13,1.95,0.175,0.03,0.024,76.0,0.02,0.03,0.7,0.175,0.03,0.024,60.0,0.02,0.03,0.7,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,694,1334,0.0512,0.0636,5.6,-4.976,,9.1
44,HD27808,Gaia DR3 145373377272257664,HD27808,HIP20557,-,TIC17339628,-,-,-,F8V,PM*,66.0607,21.7362,2.161,1.245,1.215,6350.0,4.361,0.16,0.78,0.185,0.03,0.025,84.0,0.02,0.02,0.46,0.185,0.03,0.025,59.0,0.01,0.02,0.57,,BRILLIANT_ISO_v005_Rinput,SED_v002,SED_v002,BRILLIANT_ISO_v005_Rinput,S2022,BRILLIANT_ISO_v005_Rinput,760,1442,0.0488,0.0604,13.8,-4.536,,3.0
